setting,telemetry_spec,n_segments,n_trips,n_vehicles,telemetry_only_mae,road_augmented_mae,absolute_mae_reduction,relative_mae_reduction_pct,ci_low,ci_high,interval_type,draw_count,unweighted_fold_gain,segment_weighted_fold_gain
unseen_vehicle,without_RPM,112787,14647,197,0.017238943381973602,0.016365289675790401,0.00087365370618310001,5.0679075093242059,4.3368628490352554,5.8733322880450629,pointwise percentile 95%; vehicle clusters; fixed OOF fits; 2000 replicates,2000,5.0423247805097358,5.0423321472685787
unseen_vehicle,with_RPM,112787,14647,197,0.015738451032838101,0.015606671933508001,0.0001317790993301,0.83730666413849875,-0.13142697506632889,1.8041325753219335,pointwise percentile 95%; vehicle clusters; fixed OOF fits; 2000 replicates,2000,0.64750254051744482,0.64749104794732171
cold_trip,without_RPM,17376,2196,179,0.0170468465871224,0.0158043178689408,0.0012425287181815001,7.288906554249162,5.7237398504230903,8.8540732580752,simultaneous max-standardized bootstrap; original 24 road_gain contrasts (4 settings x 2 telemetry x 3 real/control); 2000 vehicle draws,,,
cold_trip,with_RPM,17376,2196,179,0.015027291987584899,0.0144949479388038,0.00053234404878109995,3.5425148404712874,1.80595228456033,5.2790773963822497,simultaneous max-standardized bootstrap; 24 model_real_gain contrasts; 2000 vehicle draws; fixed fits,,,
cold_month,without_RPM,6260,837,94,0.0161955178564029,0.014743827341764101,0.0014516905146387999,8.963532549623757,6.5265327913105198,11.40053230793697,simultaneous max-standardized bootstrap; original 24 road_gain contrasts (4 settings x 2 telemetry x 3 real/control); 2000 vehicle draws,,,
cold_month,with_RPM,6260,837,94,0.013789312490743401,0.0131704726824266,0.00061883980831669997,4.4878220631536472,1.6018326077954299,7.3738115185118893,simultaneous max-standardized bootstrap; 24 model_real_gain contrasts; 2000 vehicle draws; fixed fits,,,
cold_spatial,without_RPM,10550,3445,167,0.011398519248815299,0.0114843825027979,-8.5863253982602569e-05,-0.75328428288198157,-4.1492473573868605,2.6426787916229402,simultaneous max-standardized bootstrap; original 24 road_gain contrasts (4 settings x 2 telemetry x 3 real/control); 2000 vehicle draws,,,
cold_spatial,with_RPM,10550,3445,167,0.010887311586400999,0.0114841753788253,-0.0005968637924243,-5.4821962950878449,-12.777392942472678,1.8130003522970399,simultaneous max-standardized bootstrap; 24 model_real_gain contrasts; 2000 vehicle draws; fixed fits,,,
cold_functional_road_class,without_RPM,8957,1369,139,0.046269183568507302,0.048791780265710898,-0.0025225966972035,-5.4520017485688328,-7.1998667897241697,-3.7041367074135199,simultaneous max-standardized bootstrap; original 24 road_gain contrasts (4 settings x 2 telemetry x 3 real/control); 2000 vehicle draws,,,
cold_functional_road_class,with_RPM,8957,1369,139,0.041190391301146399,0.044361680996972699,-0.0031712896958261999,-7.6991006777301951,-10.372867445837819,-5.02533390962253,simultaneous max-standardized bootstrap; 24 model_real_gain contrasts; 2000 vehicle draws; fixed fits,,,
