setting,telemetry,field,source_full_precision,manuscript_display,source_path,source_key
cold_trip,without_RPM,telemetry_only_mae_mL,17.0468465871224,17.047,data/energy/tables/primary_results.csv,setting=cold_trip;telemetry_spec=without_RPM;column=telemetry_only_mae;conversion=multiply by 1000 to mL
cold_trip,without_RPM,road_augmented_mae_mL,15.8043178689408,15.804,data/energy/tables/primary_results.csv,setting=cold_trip;telemetry_spec=without_RPM;column=road_augmented_mae;conversion=multiply by 1000 to mL
cold_trip,without_RPM,gain_percent,7.288906554249162,7.29,data/energy/tables/primary_results.csv,setting=cold_trip;telemetry_spec=without_RPM;column=relative_mae_reduction_pct;conversion=identity
cold_trip,without_RPM,n_segments,17376.0,"17,376",data/energy/tables/primary_results.csv,setting=cold_trip;telemetry_spec=without_RPM;column=n_segments;conversion=identity
cold_trip,without_RPM,lower_percent,5.72373985042309,5.72,data/energy/tables/primary_results.csv,setting=cold_trip;telemetry_spec=without_RPM;column=ci_low;conversion=identity
cold_trip,without_RPM,upper_percent,8.8540732580752,8.85,data/energy/tables/primary_results.csv,setting=cold_trip;telemetry_spec=without_RPM;column=ci_high;conversion=identity
cold_trip,with_RPM,telemetry_only_mae_mL,15.0272919875849,15.027,data/energy/tables/primary_results.csv,setting=cold_trip;telemetry_spec=with_RPM;column=telemetry_only_mae;conversion=multiply by 1000 to mL
cold_trip,with_RPM,road_augmented_mae_mL,14.494947938803799,14.495,data/energy/tables/primary_results.csv,setting=cold_trip;telemetry_spec=with_RPM;column=road_augmented_mae;conversion=multiply by 1000 to mL
cold_trip,with_RPM,gain_percent,3.5425148404712874,3.54,data/energy/tables/primary_results.csv,setting=cold_trip;telemetry_spec=with_RPM;column=relative_mae_reduction_pct;conversion=identity
cold_trip,with_RPM,n_segments,17376.0,"17,376",data/energy/tables/primary_results.csv,setting=cold_trip;telemetry_spec=with_RPM;column=n_segments;conversion=identity
cold_trip,with_RPM,lower_percent,1.80595228456033,1.81,data/energy/tables/primary_results.csv,setting=cold_trip;telemetry_spec=with_RPM;column=ci_low;conversion=identity
cold_trip,with_RPM,upper_percent,5.27907739638225,5.28,data/energy/tables/primary_results.csv,setting=cold_trip;telemetry_spec=with_RPM;column=ci_high;conversion=identity
unseen_vehicle,without_RPM,telemetry_only_mae_mL,17.238943381973602,17.239,data/energy/tables/primary_results.csv,setting=unseen_vehicle;telemetry_spec=without_RPM;column=telemetry_only_mae;conversion=multiply by 1000 to mL
unseen_vehicle,without_RPM,road_augmented_mae_mL,16.3652896757904,16.365,data/energy/tables/primary_results.csv,setting=unseen_vehicle;telemetry_spec=without_RPM;column=road_augmented_mae;conversion=multiply by 1000 to mL
unseen_vehicle,without_RPM,gain_percent,5.067907509324206,5.07,data/energy/tables/primary_results.csv,setting=unseen_vehicle;telemetry_spec=without_RPM;column=relative_mae_reduction_pct;conversion=identity
unseen_vehicle,without_RPM,n_segments,112787.0,"112,787",data/energy/tables/primary_results.csv,setting=unseen_vehicle;telemetry_spec=without_RPM;column=n_segments;conversion=identity
unseen_vehicle,without_RPM,lower_percent,4.336862849035255,4.34,data/energy/tables/primary_results.csv,setting=unseen_vehicle;telemetry_spec=without_RPM;column=ci_low;conversion=identity
unseen_vehicle,without_RPM,upper_percent,5.873332288045063,5.87,data/energy/tables/primary_results.csv,setting=unseen_vehicle;telemetry_spec=without_RPM;column=ci_high;conversion=identity
unseen_vehicle,with_RPM,telemetry_only_mae_mL,15.738451032838102,15.738,data/energy/tables/primary_results.csv,setting=unseen_vehicle;telemetry_spec=with_RPM;column=telemetry_only_mae;conversion=multiply by 1000 to mL
